userID,subscriptionAgeGroup,monthsActive,monthlySubscriptionCost,totalAmountPaid,churned,listeningHoursPerWeek,appUpdateFrequency,daysSinceLastLogin,gender_Male,hasFamilyPlan_Yes,hasSharedAccount_Yes,hasMobileApp_Yes,usesMultipleDevices_Yes,subscriptionType_Free Trial,subscriptionType_Individual Plan,subscriptionType_Student Plan,parentalControlsEnabled_No internet service,parentalControlsEnabled_Yes,playlistBackupEnabled_Yes,deviceSyncEnabled_Yes,contactedSupportRecently_No internet service,contactedSupportRecently_Yes,watchesMusicVideos_No internet service,watchesMusicVideos_Yes,listensToPodcasts_No internet service,listensToPodcasts_Yes,usesAutoBilling_Yes,paymentMethod_Credit card (automatic),paymentMethod_Electronic check,paymentMethod_Mailed check,favoriteGenre_Electronic,favoriteGenre_Hip-Hop,favoriteGenre_Jazz,favoriteGenre_Pop,favoriteGenre_R&B,favoriteGenre_Rock,subscriptionAgeGroupLabel_Senior,subscriptionAgeGroupLabel_Teen
7590-VHVEG,1,1,10.99,29.85,No,15.3,17,15,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False
5575-GNVDE,1,34,10.99,1889.5,No,20.2,12,4,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
3668-QPYBK,0,2,16.99,108.15,Yes,15.8,7,9,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True
7795-CFOCW,1,45,10.99,1840.75,No,11.6,13,5,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
9237-HQITU,1,2,16.99,151.65,Yes,21.5,5,8,False,True,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False
9305-CDSKC,1,8,5.99,820.5,Yes,13.6,5,8,False,False,False,True,True,False,False,True,False,False,True,True,False,False,False,True,False,True,True,False,True,False,False,True,False,False,False,False,False,False
1452-KIOVK,1,22,10.99,1949.4,No,16.6,17,4,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False
6713-OKOMC,1,10,10.99,301.9,No,19.0,15,5,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
7892-POOKP,1,28,5.99,3046.05,Yes,16.9,12,1,False,False,False,True,True,False,False,True,False,False,True,True,False,True,False,True,False,True,True,False,True,False,False,False,False,True,False,False,False,False
6388-TABGU,1,62,16.99,3487.95,No,6.9,18,2,True,True,False,True,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
9763-GRSKD,1,13,16.99,587.45,No,14.5,10,0,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
7469-LKBCI,1,16,10.99,326.8,No,13.3,15,5,True,False,False,True,True,False,True,False,True,False,True,True,True,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
8091-TTVAX,1,58,5.99,5681.1,No,10.5,7,4,True,False,False,True,True,False,False,True,False,False,True,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False
0280-XJGEX,1,49,5.99,5036.3,Yes,15.3,18,5,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
5129-JLPIS,1,25,10.99,2686.05,No,16.4,15,2,True,False,False,True,True,False,True,False,False,True,True,True,False,True,False,True,False,True,True,False,True,False,False,False,False,False,False,True,False,False
3655-SNQYZ,1,69,10.99,7895.15,No,19.6,18,4,False,False,False,True,True,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False
8191-XWSZG,1,52,5.99,1022.95,No,16.7,7,5,False,False,False,True,True,False,False,True,True,False,True,True,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
9959-WOFKT,1,71,10.99,7382.25,No,18.8,12,4,True,False,False,True,True,False,True,False,False,True,True,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False
4190-MFLUW,0,10,0.0,528.35,Yes,7.0,5,7,False,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
